symbol,type,entry_date,exit_date,entry_price,exit_price,shares,profit,exit_reason
DVA,long,2025-06-03,2025-06-10 00:00:00,135.99,139.11,37,115.44,BE L
DAY,long,2025-04-09,2025-05-07 00:00:00,56.22,54.44,89,-158.42,S 2 L
DAY,short,2025-06-09,2025-06-13 00:00:00,59.16,57.08,85,176.8,BE S
DAY,long,2025-06-30,2025-07-03 00:00:00,55.39,57.27,90,169.2,BE L
DECK,long,2025-04-09,2025-04-15 00:00:00,116.06,104.18,43,-510.84,Hard Stop S
DE,long,2025-04-09,2025-05-08 00:00:00,452.59,489.99,11,411.4,BE L
DELL,long,2025-04-07,2025-04-14 00:00:00,75.0,85.19,67,682.73,Gap out L
DAL,short,2025-06-11,2025-06-13 00:00:00,49.17,47.04,102,217.26,Gap out S
DAL,long,2025-06-23,2025-07-03 00:00:00,48.25,50.86,104,271.44,BE L
DVN,long,2025-04-09,2025-04-10 00:00:00,31.07,27.75,161,-534.52,Hard Stop S
DVN,short,2025-06-23,2025-07-08 00:00:00,32.83,34.92,152,-317.68,L 2 S
DXCM,long,2025-04-09,2025-05-02 00:00:00,66.84,81.62,75,1108.5,Gap out L
FANG,long,2025-04-09,2025-05-06 00:00:00,134.93,131.98,37,-109.15,S 2 L
DLR,long,2025-04-09,2025-04-25 00:00:00,145.77,159.88,34,479.74,Target L
DLR,short,2025-06-20,2025-06-26 00:00:00,175.42,169.59,29,169.07,BE S
DG,short,2025-03-11,2025-03-27 00:00:00,78.64,87.54,64,-569.6,Hard Stop L
DLTR,short,2025-04-08,2025-04-17 00:00:00,69.7,79.14,72,-679.68,Hard Stop L
DLTR,short,2025-06-18,2025-07-07 00:00:00,97.53,104.23,51,-341.7,L 2 S
D,long,2025-04-09,2025-05-16 00:00:00,52.25,55.77,96,337.92,BE L
DPZ,short,2025-03-03,2025-03-10 00:00:00,483.82,440.03,10,437.9,BE S
DPZ,long,2025-04-09,2025-04-24 00:00:00,456.35,487.97,11,347.82,BE L
DASH,long,2025-03-11,2025-03-24 00:00:00,183.73,198.98,27,411.75,BE L
